DEPTH,DT_F17-04,DT_F15-A-01
1925.0001,80.89932251,88.73386383
1925.1001,82.63438416,88.19277954
1925.2001,79.63424683,87.67763519
1925.3001,73.19770813,87.30230713
1925.4001,67.87954712,87.10002136
1925.5001,64.6700592,87.02281189
1925.6001,62.75998688,87.01805878
1925.7001,61.62909699,87.0766983
1925.8001,60.5197525,87.17458344
1925.9001,59.27583313,87.22704315
1926.0001,58.95635223,87.18054962
1926.1001,60.48940277,87.13922119
1926.2001,62.96910095,87.26767731
1926.3001,65.1859436,87.47003174
1926.4001,67.3474884,87.45389557
1926.5001,69.47145081,87.11347199
1927.0001,67.5171051,86.05965424
1927.1001,66.62371826,86.19626617
1927.2001,66.94352722,86.02074432
1927.3001,69.25704956,85.5790863
1927.4001,72.16369629,85.13910675
1927.5001,73.84289551,84.85887909
1927.6001,74.83488464,84.59752655
1927.7001,75.84228516,84.56537628
1928.3001,76.34512329,85.97387695
1928.4001,76.13658905,86.10071564
1928.5001,75.7522583,86.20278931
1928.6001,74.89345551,86.21650696
1928.7001,74.11251831,86.29621124
1928.8001,74.0881424,86.56829834
1928.9001,74.72920227,86.97602844
1929.0001,75.19621277,87.21981049
1929.1001,74.90073395,87.33821106
1929.2001,74.0125885,87.38739014
1929.3001,73.1618042,87.30675507
1929.5001,73.03425598,86.35142517
1929.6001,74.17573547,86.03385925
1929.7001,76.0113678,86.04938507
1929.8001,77.902771,86.28051758
1929.9001,79.36810303,86.69654083
1930.0001,80.29309845,87.31430054
1930.1001,80.90322876,88.20439911
1930.2001,81.46282196,89.1047821
1930.3001,82.03057861,89.73242188
1930.4001,82.55155945,89.93405914
1930.5001,83.04424286,90.29960632
1930.6001,83.53511047,90.86489105
1930.7001,83.99863434,91.36154175
1930.8001,84.47590637,91.73121643
1932.0001,76.30297089,93.64341736
1932.1001,75.78904724,94.07957459
1932.2001,75.73336029,94.33287048
1932.3001,75.91872406,94.38970184
1932.4001,76.27494812,94.22847748
1932.5001,76.69853973,93.91159058
1932.6001,77.01451874,93.63866425
1932.7001,77.19020844,93.56114197
1932.8001,77.41719055,93.66418457
1932.9001,77.88313294,93.86906433
1933.0001,78.55470276,94.03920746
1933.1001,79.28811646,93.97926331
1933.2001,79.95546722,93.51383209
1933.3001,80.46668243,92.69251251
1933.4001,80.80046082,91.76898193
1933.5001,80.9559021,90.99003601
1933.6001,80.93650055,90.46781158
1933.7001,80.77053833,90.2279129
1933.8001,80.48422241,90.29173279
1933.9001,80.08323669,90.64429474
1934.0001,79.61512756,91.20451355
1934.1001,79.14492035,91.87582398
1934.2001,78.66622162,92.65937042
1934.3001,78.14846802,93.51441956
1934.4001,77.58706665,94.24248505
1934.5001,76.98682404,94.67533875
1934.6001,76.39571381,94.83990479
1934.7001,75.90903473,94.84516907
1934.8001,75.61531067,94.71869659
1934.9001,75.48989868,94.46932221
1935.0001,75.44803619,94.19813538
1935.1001,75.48588562,93.96413422
1935.2001,75.65270996,93.71081543
1935.3001,75.89034271,93.42977142
1935.4001,75.9836731,93.17398071
1935.5001,75.75598145,92.98108673
1935.6001,75.18860626,92.91134644
1935.7001,74.4395752,92.98851776
1935.8001,73.66872406,93.12659454
1935.9001,73.04701996,93.20835114
1936.0001,72.72078705,93.15300751
1936.1001,72.70966339,92.89001465
1936.2001,72.86126709,92.40096283
1936.3001,72.94902802,91.77639771
1936.4001,72.96563721,91.20149994
1936.5001,73.0695343,90.82603455
1936.6001,73.34359741,90.68630219
1936.7001,73.77420044,90.74684143
1936.8001,74.29682159,90.92518616
1936.9001,74.86381531,91.08259583
1937.0001,75.50868988,91.03437805
1937.1001,76.24629974,90.7246933
1937.2001,76.98442078,90.28800201
1937.3001,77.53430939,89.90543366
1937.4001,77.82995606,89.64820099
1937.5001,77.91943359,89.48868561
1937.6001,77.9101944,89.43277741
1937.7001,77.90547943,89.423172
1937.8001,77.98321533,89.29538727
1937.9001,78.12697601,89.10959625
1938.0001,78.30114746,89.06333923
1938.1001,78.60028076,89.15057373
1938.2001,79.0699234,89.34401703
1938.3001,79.6386795,89.63208771
1938.4001,80.2171936,89.89997864
1938.5001,80.62270355,90.13929749
1938.6001,80.60948944,90.44321442
1938.7001,80.17365265,90.72493744
1938.8001,79.56867218,90.80870056
1939.0001,78.97364044,90.36499786
1939.1001,79.19194794,90.23703766
1939.2001,79.66122437,90.20617676
1939.3001,80.32048035,90.26809692
