DEPTH,DT,GR,ILD,NPHI,RHOB,WELL,,DEPTH,DT,GR,ILD,NPHI,RHOB,WELL
1925.0001,80.89932251,11.57333565,0.436914653,0.257402003,2.323279142,F17-04,,1925,88.73386383,50.72059631,0.493474424,0.296124876,2.267556906,F15-A-01
1925.1001,82.63438416,12.59508514,0.425697237,0.263092995,2.304461956,F17-04,,1925.1,88.19277954,51.38536835,0.495717198,0.289543271,2.273481131,F15-A-01
1925.2001,79.63424683,13.09546089,0.411018521,0.266674012,2.280341148,F17-04,,1925.2,87.67763519,51.93164825,0.503291011,0.294609547,2.277844667,F15-A-01
1925.3001,73.19770813,13.31482506,0.396529943,0.270790011,2.254522085,F17-04,,1925.3,87.30230713,51.83340454,0.514408529,0.29770565,2.280602932,F15-A-01
1925.4001,67.87954712,13.54421997,0.384034038,0.276306003,2.233262062,F17-04,,1925.4,87.10002136,51.54588318,0.531069279,0.294717044,2.279531479,F15-A-01
1925.5001,64.6700592,13.5971489,0.371037304,0.282508999,2.221970081,F17-04,,1925.5,87.02281189,51.70318985,0.548734725,0.294393241,2.272567987,F15-A-01
1925.6001,62.75998688,13.53376007,0.359320998,0.289712995,2.221870184,F17-04,,1925.6,87.01805878,52.25697327,0.565677285,0.296101153,2.268045187,F15-A-01
1925.7001,61.62909699,13.6289444,0.351635158,0.29885599,2.231183052,F17-04,,1925.7,87.0766983,53.1833458,0.57977432,0.30231905,2.270004034,F15-A-01
1925.8001,60.5197525,13.96205139,0.347719789,0.311161012,2.242900848,F17-04,,1925.8,87.17458344,54.33550644,0.589391232,0.317471266,2.272574663,F15-A-01
1925.9001,59.27583313,14.76826954,0.344884127,0.323763013,2.250065804,F17-04,,1925.9,87.22704315,54.83792877,0.596178472,0.331239969,2.274030209,F15-A-01
1926.0001,58.95635223,15.82597446,0.341040522,0.330864012,2.254727125,F17-04,,1926,87.18054962,54.00595093,0.598421216,0.335679382,2.272493362,F15-A-01
1926.1001,60.48940277,16.40059662,0.338078827,0.332284987,2.25949502,F17-04,,1926.1,87.13922119,52.19664383,0.598900676,0.333460957,2.264606714,F15-A-01
1926.2001,62.96910095,16.20836258,0.336255103,0.332498014,2.264438868,F17-04,,1926.2,87.26767731,50.80477142,0.598790646,0.326416254,2.255850077,F15-A-01
1926.3001,65.1859436,15.17704582,0.338177443,0.331889004,2.271000862,F17-04,,1926.3,87.47003174,50.50320435,0.599751949,0.317046523,2.25314188,F15-A-01
1926.4001,67.3474884,13.11241913,0.340509743,0.327767998,2.276230097,F17-04,,1926.4,87.45389557,50.5631485,0.601738334,0.30821532,2.255619764,F15-A-01
1926.5001,69.47145081,10.76083565,0.342923015,0.321368009,2.272930861,F17-04,,1926.5,87.11347199,50.40545654,0.603260696,0.298177183,2.264071226,F15-A-01
1927.0001,67.5171051,11.02705574,0.335271567,0.333564013,2.235569,F17-04,,1927,86.05965424,48.26598358,0.576801121,0.290078998,2.266444206,F15-A-01
1927.1001,66.62371826,12.21573257,0.330532342,0.333581001,2.245121002,F17-04,,1927.1,86.19626617,47.0748291,0.571648836,0.296330065,2.259676933,F15-A-01
1927.2001,66.94352722,12.63359261,0.328932077,0.33049801,2.253907919,F17-04,,1927.2,86.02074432,45.37126923,0.565241396,0.299415708,2.262203932,F15-A-01
1927.3001,69.25704956,12.67217255,0.328761905,0.325901985,2.257126093,F17-04,,1927.3,85.5790863,43.73116684,0.558197975,0.294107378,2.269917011,F15-A-01
1927.4001,72.16369629,12.49394226,0.330042779,0.317761987,2.257008076,F17-04,,1927.4,85.13910675,43.56482697,0.55050832,0.281306326,2.280195713,F15-A-01
1927.5001,73.84289551,11.9373951,0.330700755,0.308108658,2.25798893,F17-04,,1927.5,84.85887909,46.23608017,0.543129921,0.270355791,2.288101673,F15-A-01
1927.6001,74.83488464,11.21426773,0.330335528,0.303583533,2.259270668,F17-04,,1927.6,84.59752655,48.66357422,0.536334932,0.269365817,2.291566134,F15-A-01
1927.7001,75.84228516,10.49445438,0.328734666,0.305550039,2.258320093,F17-04,,1927.7,84.56537628,50.49959946,0.530247629,0.278488338,2.286408663,F15-A-01
1928.3001,76.34512329,10.47095585,0.344768405,0.34030506,2.232049704,F17-04,,1928.3,85.97387695,51.17656708,0.510978341,0.286789656,2.25757885,F15-A-01
1928.4001,76.13658905,10.84465027,0.354955733,0.328615695,2.235105753,F17-04,,1928.4,86.10071564,50.03756714,0.503133833,0.285254031,2.261736393,F15-A-01
1928.5001,75.7522583,11.38686276,0.364845663,0.317449182,2.245378733,F17-04,,1928.5,86.20278931,48.7199173,0.495026469,0.282630533,2.261851549,F15-A-01
1928.6001,74.89345551,12.14166641,0.373176485,0.307476997,2.261809588,F17-04,,1928.6,86.21650696,47.45530701,0.486695766,0.276907951,2.256352186,F15-A-01
1928.7001,74.11251831,12.54082108,0.382257521,0.298236251,2.28450942,F17-04,,1928.7,86.29621124,45.18511581,0.479614884,0.278146923,2.244092941,F15-A-01
1928.8001,74.0881424,12.46704102,0.392536074,0.28883341,2.312236309,F17-04,,1928.8,86.56829834,43.84607697,0.474937052,0.280601174,2.229802609,F15-A-01
1928.9001,74.72920227,12.13378716,0.405677468,0.278849989,2.34038496,F17-04,,1928.9,86.97602844,44.58364105,0.476218551,0.281974524,2.220672369,F15-A-01
