GR_F17-04,GR_F15-A-01
11.57333565,50.72059631
12.59508514,51.38536835
13.09546089,51.93164825
13.31482506,51.83340454
13.54421997,51.54588318
13.5971489,51.70318985
13.53376007,52.25697327
13.6289444,53.1833458
13.96205139,54.33550644
14.76826954,54.83792877
15.82597446,54.00595093
16.40059662,52.19664383
16.20836258,50.80477142
15.17704582,50.50320435
13.11241913,50.5631485
10.76083565,50.40545654
11.02705574,48.26598358
12.21573257,47.0748291
12.63359261,45.37126923
12.67217255,43.73116684
12.49394226,43.56482697
11.9373951,46.23608017
11.21426773,48.66357422
10.49445438,50.49959946
10.47095585,51.17656708
10.84465027,50.03756714
11.38686276,48.7199173
12.14166641,47.45530701
12.54082108,45.18511581
12.46704102,43.84607697
12.13378716,44.58364105
11.64141083,45.52596664
11.09988594,46.79666138
10.62743473,47.98532105
10.21928215,46.69061279
10.07062817,43.71010971
10.36175823,43.32944107
10.73371887,44.19122696
11.13824463,47.3000145
11.4987278,49.38792038
11.66795445,50.42492294
11.69214726,50.34083939
11.83474731,51.10312271
12.05706501,52.16856384
12.0314703,52.18371201
11.73181343,51.8750267
11.32237148,51.04177856
10.83288288,49.23214722
10.36299229,47.83689499
10.85940456,51.37593079
10.95311165,52.23218918
11.15808582,53.06401825
11.40929699,52.38700104
11.60769272,50.32010269
11.73782158,49.72076416
11.83141899,48.97844315
11.85547733,48.6415863
11.77986622,51.9262352
11.6665926,54.7940712
11.62792969,54.28862
11.7317133,53.53243256
11.9485426,51.71741486
12.11451531,48.59224701
12.02762032,46.63951492
11.76364613,45.99052811
11.65462685,45.74174118
11.8081007,45.42502594
12.11041164,45.50413895
12.53967285,46.20856094
13.02570534,46.95838165
13.40639782,47.58100891
13.70004082,48.22426224
14.07214928,48.99113083
14.44005203,50.20698166
14.47701645,51.46340179
14.14309216,51.3687706
13.59247208,50.21508789
12.85595703,48.96492386
12.08404446,47.12862396
11.48977661,45.84221268
11.15347862,46.37683868
11.2816782,47.9025116
11.98173618,49.58883286
12.91419792,51.10155106
13.87257671,51.6836853
14.54486752,51.06852722
14.267416,49.8309021
13.41514015,48.69789124
12.85732555,48.12934876
12.44173813,48.02468872
12.06158543,47.53074646
11.89482021,46.57809067
11.58263874,45.98740387
11.02243233,45.7482338
10.57308865,45.90012741
10.35430622,46.8789978
10.33793068,48.06655884
10.45514011,48.68351364
10.57932663,48.88481522
10.63986874,48.67590714
10.63334751,47.96089172
10.53722858,46.6951294
10.50762463,46.40034103
10.66882992,48.52184677
10.81636334,50.81899643
10.92256069,52.23662186
11.10017395,52.36730957
11.09002972,51.06720352
10.86535645,49.11262512
10.68918514,48.52340698
10.43628216,49.02165604
10.25267029,50.06557846
10.57328415,50.42326355
11.20084095,50.17108536
11.59093761,49.3944664
11.48944569,48.78989792
10.93573666,48.86452103
10.24332619,50.02960968
10.12371445,52.99928284
10.77393723,55.84481812
11.38794899,56.90939713
11.74670601,57.19203568
11.76903439,57.38484955
11.45302963,55.53690338
11.0059576,53.18270493
10.56656742,53.29931259
10.93200111,51.929142
10.49211311,54.31408691
10.10430813,55.47328949
10.03975868,49.98013687
10.34932423,49.12660599
10.68099403,48.91605377
10.94802284,50.74928665
11.12110615,52.27891922
11.2299881,51.96532822
11.30350971,51.45639801
11.40084267,51.24514771
11.54794884,51.37611008
11.65252113,50.76965714
11.7311306,50.00780869
11.88516235,49.3101387
11.93379784,47.52422714
11.66660214,45.47257996
11.13146687,44.43058014
10.32596302,44.11885071
10.46828079,50.23960877
11.79769898,50.8855896
13.17410946,50.8105011
14.00482941,50.37023544
13.86843491,50.06370926
12.89339542,49.92903137
11.62125874,49.39067841
10.58261776,48.31922913
10.06636047,47.98071289
10.10674,48.45610046
10.45647335,49.21895218
10.72757149,51.00743866
10.76273918,53.30349731
10.7890892,55.07032776
11.09503079,57.10992432
11.62505341,58.27320862
12.03744316,56.89448547
12.0484972,54.03211975
11.55247021,50.35646057
10.59593678,46.02344513
10.49099159,43.30183029
10.91529751,43.32149506
10.84130669,44.83353424
10.61586285,46.77198029
10.42950153,48.38524628
10.37158489,49.21483994
10.58897209,49.30073929
11.02910233,48.83081436
11.41263962,47.94655991
11.54611015,47.21669388
11.59637547,46.82478333
11.59679222,46.28806686
11.40711689,46.21808243
11.15460491,46.98361206
10.81894684,47.77630997
10.23318863,49.64377976
10.21415424,52.81430817
10.88221359,54.79666901
11.34538364,55.52375412
11.31692314,56.20763016
11.08537197,56.00166321
11.38545132,55.99739838
11.79927445,57.70429611
11.67894268,58.481884
