DEPTH,NPHI_F17-04,NPHI_F15-A-01
1925.0001,0.257402003,0.296124876
1925.1001,0.263092995,0.289543271
1925.2001,0.266674012,0.294609547
1925.3001,0.270790011,0.29770565
1925.4001,0.276306003,0.294717044
1925.5001,0.282508999,0.294393241
1925.6001,0.289712995,0.296101153
1925.7001,0.29885599,0.30231905
1925.8001,0.311161012,0.317471266
1925.9001,0.323763013,0.331239969
1926.0001,0.330864012,0.335679382
1926.1001,0.332284987,0.333460957
1926.2001,0.332498014,0.326416254
1926.3001,0.331889004,0.317046523
1926.4001,0.327767998,0.30821532
1926.5001,0.321368009,0.298177183
1927.0001,0.333564013,0.290078998
1927.1001,0.333581001,0.296330065
1927.2001,0.33049801,0.299415708
1927.3001,0.325901985,0.294107378
1927.4001,0.317761987,0.281306326
1927.5001,0.308108658,0.270355791
1927.6001,0.303583533,0.269365817
1927.7001,0.305550039,0.278488338
1928.3001,0.34030506,0.286789656
1928.4001,0.328615695,0.285254031
1928.5001,0.317449182,0.282630533
1928.6001,0.307476997,0.276907951
1928.7001,0.298236251,0.278146923
1928.8001,0.28883341,0.280601174
1928.9001,0.278849989,0.281974524
1929.0001,0.263675183,0.292036623
1929.1001,0.239242435,0.305064857
1929.2001,0.21524699,0.310640842
1929.3001,0.205211029,0.308431983
1929.5001,0.232831389,0.285393179
1929.6001,0.254018813,0.267040491
1929.7001,0.268491536,0.254729152
1929.8001,0.272507995,0.255545527
1929.9001,0.270558953,0.261991143
1930.0001,0.270580977,0.272265852
1930.1001,0.274204373,0.288011938
1930.2001,0.279852331,0.305755973
1930.3001,0.287324518,0.319042921
1930.4001,0.292929411,0.325031161
1930.5001,0.292741209,0.326997191
1930.6001,0.289474279,0.3222242
1930.7001,0.287688792,0.307765007
1930.8001,0.288973719,0.29780975
1932.0001,0.227964088,0.323149324
1932.1001,0.245824128,0.336750627
1932.2001,0.258479357,0.343715251
1932.3001,0.259564936,0.338219166
1932.4001,0.253559023,0.325990021
1932.5001,0.245728836,0.3199929
1932.6001,0.238781944,0.319079578
1932.7001,0.238298476,0.322282136
