DEPTH,RHOB_F17-04,RHOB_F15-A-01
1925.0001,2.323279142,2.267556906
1925.1001,2.304461956,2.273481131
1925.2001,2.280341148,2.277844667
1925.3001,2.254522085,2.280602932
1925.4001,2.233262062,2.279531479
1925.5001,2.221970081,2.272567987
1925.6001,2.221870184,2.268045187
1925.7001,2.231183052,2.270004034
1925.8001,2.242900848,2.272574663
1925.9001,2.250065804,2.274030209
1926.0001,2.254727125,2.272493362
1926.1001,2.25949502,2.264606714
1926.2001,2.264438868,2.255850077
1926.3001,2.271000862,2.25314188
1926.4001,2.276230097,2.255619764
1926.5001,2.272930861,2.264071226
1927.0001,2.235569,2.266444206
1927.1001,2.245121002,2.259676933
1927.2001,2.253907919,2.262203932
1927.3001,2.257126093,2.269917011
1927.4001,2.257008076,2.280195713
1927.5001,2.25798893,2.288101673
1927.6001,2.259270668,2.291566134
1927.7001,2.258320093,2.286408663
1928.3001,2.232049704,2.25757885
1928.4001,2.235105753,2.261736393
1928.5001,2.245378733,2.261851549
1928.6001,2.261809588,2.256352186
1928.7001,2.28450942,2.244092941
1928.8001,2.312236309,2.229802609
1928.9001,2.34038496,2.220672369
1929.0001,2.364637852,2.214568377
1929.1001,2.38283968,2.211763144
1929.2001,2.393989801,2.214883328
1929.3001,2.397409678,2.222902775
1929.5001,2.381026745,2.256030083
1929.6001,2.372151852,2.271313906
1929.7001,2.364696264,2.279445648
1929.8001,2.353979826,2.274608612
1929.9001,2.339089632,2.262601137
1930.0001,2.319903135,2.245723486
1930.1001,2.301368713,2.234386444
1930.2001,2.291889429,2.225607157
1930.3001,2.28888011,2.219008446
1930.4001,2.284287453,2.211904287
1930.5001,2.277955294,2.205874205
1930.6001,2.272969008,2.200392008
1930.7001,2.268606424,2.191761732
1930.8001,2.263494015,2.187138557
1932.0001,2.34582448,2.177422047
1932.1001,2.347292423,2.176239967
1932.2001,2.354201078,2.175947189
1932.3001,2.362544537,2.176571369
1932.4001,2.367621899,2.178849936
1932.5001,2.368841887,2.183148861
1932.6001,2.367576122,2.187011719
1932.7001,2.364713907,2.18819809
1932.8001,2.360790968,2.190048456
1932.9001,2.354866982,2.194130421
1933.0001,2.34551549,2.201601028
1933.1001,2.333099365,2.212608099
1933.2001,2.320524693,2.225089073
1933.3001,2.312437058,2.235342979
1933.4001,2.312881708,2.241902828
1933.5001,2.322451353,2.242668152
1933.6001,2.337105513,2.238360405
1933.7001,2.351623297,2.232814074
1933.8001,2.364077807,2.227330923
1933.9001,2.376084089,2.222169638
1934.0001,2.38824892,2.219110012
1934.1001,2.397272587,2.217126846
1934.2001,2.397703648,2.213436842
1934.3001,2.386182308,2.207074642
1934.4001,2.365180969,2.199226618
1934.5001,2.342926264,2.192208052
1934.6001,2.329590321,2.188360214
1934.7001,2.330089569,2.187562227
1934.8001,2.340790272,2.187811136
1934.9001,2.353600264,2.188848019
1935.0001,2.361506939,2.189831257
1935.1001,2.362264156,2.189608812
1935.2001,2.359117985,2.191130877
1935.3001,2.358280897,2.194199562
1935.4001,2.363800526,2.195176125
1935.5001,2.374321461,2.196771622
